lecture_id,campus,building,room_id
A0716,南大沢,6号,304
A0717,南大沢,6号,208
A0718,南大沢,6号,301
A0719,南大沢,6号,105
A0720,南大沢,6号,201
A0721,南大沢,6号,204
A0722,南大沢,6号,212
A0723,南大沢,AV棟,162
A0724,南大沢,6号,403
A0725,南大沢,6号,104
A0726,南大沢,6号,106
A0729,南大沢,6号,404
A0730,南大沢,1号,330
A0731,南大沢,1号,340
A0732,南大沢,1号,350
A0733,南大沢,6号,210
A0734,南大沢,6号,308
A0735,南大沢,6号,309
A0736,南大沢,6号,310
A0737,南大沢,6号,311
A0738,南大沢,6号,312
A0739,南大沢,6号,211
A0740,南大沢,6号,303
A0741,南大沢,6号,304
A0742,南大沢,6号,208
A0743,南大沢,6号,301
A0744,南大沢,6号,105
A0745,南大沢,6号,201
A0746,南大沢,6号,204
A0747,南大沢,6号,212
A0748,南大沢,AV棟,162
A0749,南大沢,6号,403
A0750,南大沢,6号,104
A0751,南大沢,6号,106
A0755,南大沢,1号,340
A0756,南大沢,1号,350
A0757,南大沢,1号,330
A0758,南大沢,1号,340
A0759,南大沢,1号,204
A0760,南大沢,1号,103
A0761,南大沢,6号,209
A0762,南大沢,1号,208
A0763,南大沢,1号,203
A0765,南大沢,1号,109
A0766,南大沢,1号,105
A0767,南大沢,6号,106
A0768,南大沢,1号,304
A0769,南大沢,6号,208
A0770,南大沢,1号,205
A0771,南大沢,1号,204
A0772,南大沢,6号,201
A0773,南大沢,1号,303
A0774,南大沢,1号,330
A0775,南大沢,6号,104
A0776,南大沢,6号,104
A0778,南大沢,6号,104
A0780,南大沢,6号,104
A0781,南大沢,6号,104
A0782,南大沢,6号,104
A0784,南大沢,6号,306
A0787,南大沢,6号,306
A0796,南大沢,6号,302
A0797,南大沢,6号,302
A0812,南大沢,1号,320
A0816,南大沢,1号,350
A0822,南大沢,1号,350
A0826,南大沢,1号,330
A0827,南大沢,1号,320
A0828,南大沢,1号,340
A0829,南大沢,1号,350
A0830,南大沢,6号,404
A0831,南大沢,1号,320
A0832,南大沢,1号,330
A0833,南大沢,6号,207
A0834,南大沢,6号,207
A0837,南大沢,6号,209
A0838,南大沢,6号,209
A0843,南大沢,AV棟,163
A0845,南大沢,AV棟,163
A0847,南大沢,6号,304
A0848,南大沢,6号,304
A0851,南大沢,6号,303
A0852,南大沢,6号,303
A0854,南大沢,6号,202
A0856,南大沢,6号,202
A0857,南大沢,6号,305
A0858,南大沢,6号,306
A0859,南大沢,6号,305
A0860,南大沢,6号,306
A0863,南大沢,6号,305
A0864,南大沢,6号,305
A0865,南大沢,6号,203
A0866,南大沢,6号,203
A0869,南大沢,6号,304
A0870,南大沢,6号,304
A0873,南大沢,6号,203
A0874,南大沢,6号,203
A0877,南大沢,6号,201
A0878,南大沢,6号,201
A0881,南大沢,6号,207
A0883,南大沢,6号,201
A0885,南大沢,6号,207
A0887,南大沢,6号,201
A0889,南大沢,6号,305
A0890,南大沢,6号,306
A0891,南大沢,6号,304
A0892,南大沢,6号,305
A0893,南大沢,6号,305
A0894,南大沢,6号,306
A0895,南大沢,6号,304
A0896,南大沢,6号,305
A0897,南大沢,6号,207
A0899,南大沢,6号,404
A0901,南大沢,6号,207
A0903,南大沢,6号,404
A0905,南大沢,6号,306
A0906,南大沢,6号,307
A0907,南大沢,6号,208
A0908,南大沢,6号,312
A0909,南大沢,6号,306
A0910,南大沢,6号,307
A0911,南大沢,6号,208
A0912,南大沢,6号,312
A0920,南大沢,6号,201
A0921,南大沢,6号,201
A0995,南大沢,1号,340
A0998,南大沢,1号,320
A0999,南大沢,1号,320
C0301,南大沢,1号,205
C0302,南大沢,1号,202
C0303,南大沢,1号,206
C0304,南大沢,1号,208
C0305,南大沢,1号,209
C0306,南大沢,1号,204
C0307,南大沢,1号,102
C0308,南大沢,1号,103
C0309,南大沢,1号,104
C0310,南大沢,1号,105
C0311,南大沢,1号,204
C0312,南大沢,1号,304
C0313,南大沢,1号,205
C0314,南大沢,1号,308
C0315,南大沢,6号,313
C0318,南大沢,1号,208
C0319,南大沢,1号,209
C0320,南大沢,6号,206
C0321,南大沢,1号,203
C0322,南大沢,1号,104
C0323,南大沢,1号,103
C0324,南大沢,1号,309
C0325,南大沢,1号,105
